Counseling Center,Name,Rating,Review Year,Comment
Eastside Mental Health,Siame7474,1,2024,Poorly run clinic great high turnover doctors left better pay hired nurse practitioner understand mental health disorders prescribed meds worries interactions therapist narcissist careless helped concerned watching clock lunchtime consider clinic patient retention horrible people leaving like doctors
Eastside Mental Health,mike ensley,5,2023,Great people actually care listen value things dealing emotional mental disorders need Thanks Dr. Yulia Spencer able find medications needed time eventually progress longer needed Best psychiatric experience
Eastside Mental Health,Carla Clayton,2,2022,therapist reschedule appointment today 1:00 5 til stepped office 2 minutes 10 waited til 1:20 finally called claimed came lobby looking 1 lie understand irritated suggested reschedule appointment time agreed attitude
Eastside Mental Health,Jerrilyn Conlon,1,2023,lower People mental health issue today people charge helping care know nurses want job issue mental health
Eastside Mental Health,Cassandra Moore,5,2023,Neal Tillman best therapist talk cared patient Liked drawing smiley face appointment pad
Eastside Mental Health,Mikey Childers (Mikey),1,2023,write prescriptions nt cross reference medicine patients nown high doses seriquil elderly young adults
Eastside Mental Health,Football is King,1,2024,poor recognize depression mental illness worth therapy Disgusting people
Eastside Mental Health,Love kordei,4,2016,Courtney best listens takes time understand feel suggest Courtney Benjamin
Eastside Mental Health,Shaquita tables,4,2017,Great people Courtney Dr javaid awesome Recommend counselor Dr
Eastside Mental Health,Ashley Adams,5,2017,love East mental health help
Eastside Mental Health,Dustin F,1,2017,Refuse allow access service animals Forewarned
Eastside Mental Health,Miguel Gabriel,5,2023,Great place
