Name,Ranking,Ranking Explanation,Friendliness,Friendliness Explanation,General Rating,General Rating Explanation,Flexibility,Flexibility Explanation,Ease,Ease Explanation,Affordability,Affordability Explanation,Response Time (s)
Siame7474,1.0,The reviewer gave a low rating of 1 star.,1.0,"The reviewer describes the staff negatively, mentioning a lack of understanding and concern.",1.0,The overall rating is low based on the 1-star review.,0.0,No explanation provided.,0.0,No explanation provided.,1.0,"Though not explicitly mentioned, the negative experiences described may indicate poor value for the cost.",1.31
mike ensley,5.0,The reviewer gave a 5-star rating.,5.0,The reviewer mentions that the staff actually seem to care and value the patients.,5.0,The reviewer gave a 5-star rating.,0.0,No explanation provided.,0.0,No explanation provided.,3.0,The reviewer does not mention anything about affordability.,1.25
Carla Clayton,2.0,The reviewer gave a 2-star rating.,1.0,The reviewer mentions issues with the therapist's attitude.,2.0,The rating is 2 stars based on the review.,0.0,No explanation provided.,0.0,No explanation provided.,0.0,There is no mention of affordability in the comment.,1.22
Jerrilyn Conlon,1.0,The reviewer gave a low rating of 1 star.,0.0,No information provided in the comment regarding friendliness.,1.0,The reviewer rated the service poorly with 1 star.,0.0,No explanation provided.,0.0,No explanation provided.,0.0,No information provided in the comment regarding affordability.,1.03
Cassandra Moore,5.0,"The reviewer gave a 5-star rating, indicating high satisfaction.",5.0,The mention of the therapist caring about the patient and drawing a smiley face on the appointment pad suggests a friendly and caring demeanor.,5.0,Based on the 5-star rating provided by the reviewer.,0.0,No explanation provided.,0.0,No explanation provided.,3.0,"There is no mention of affordability in the comment, so the rating is neutral.",1.56
Mikey Childers (Mikey),1.0,The reviewer gave a low rating of 1 star.,0.0,No mention of friendliness in the comment.,1.0,The overall rating is 1 star based on the review.,0.0,No explanation provided.,0.0,No explanation provided.,0.0,No mention of affordability in the comment.,1.13
Football is King,1.0,The comment is negative and critical of the service.,1.0,The reviewer's tone is harsh and unfriendly.,1.0,The comment gives a low rating of 1 star.,0.0,No explanation provided.,0.0,No explanation provided.,1.0,No mention of affordability.,1.02
Love kordei,4.0,The reviewer gives the service a 4-star rating.,0.0,The comment does not mention anything about friendliness.,4.0,The reviewer rates the service as 4 stars.,0.0,No explanation provided.,0.0,No explanation provided.,0.0,There is no mention of affordability.,1.07
Shaquita tables,4.0,The reviewer gave a 4-star rating.,5.0,"The reviewer mentions ""Great people"" and specifically praises Courtney and Dr. Javaid.",4.0,The actual rating provided in the comment is 4 stars.,3.0,No mention of scheduling flexibility in the comment.,3.0,No information provided about the ease of scheduling.,3.0,No mention of pricing or affordability in the comment.,1.22
Ashley Adams,5.0,"The reviewer gave a 5-star rating, indicating high satisfaction.",0.0,No mention of staff friendliness in the comment.,5.0,The reviewer's rating of 5 stars aligns with a general rating of 5.,0.0,No explanation provided.,0.0,No explanation provided.,0.0,No mention of affordability in the comment.,1.21
Dustin F,1.0,The reviewer gave a low rating of 1 star.,0.0,No mention of friendliness in the comment.,1.0,The overall rating is 1 star based on the review.,0.0,No explanation provided.,0.0,No explanation provided.,0.0,No mention of affordability in the comment.,1.06
Miguel Gabriel,5.0,"The commenter gave a 5-star rating, indicating high satisfaction.",0.0,No explanation provided.,5.0,"The commenter gave a 5-star rating, showing a positive overall experience.",0.0,No explanation provided.,0.0,No explanation provided.,0.0,No explanation provided.,1.24
