Name,Ranking,Friendliness,Rating,Flexibility,Ease,Affordability,Response Time
Iliana Lopez,5.0,5.0,5.0,5.0,5.0,0.0,0.54
Rodney Smith,1.0,1.0,1.0,1.0,1.0,0.0,0.54
Mellanie Herard,4.0,0.0,0.0,0.0,0.0,0.0,0.54
Chelsea Jordan,1.0,1.0,1.0,1.0,1.0,0.0,0.54
Tom Kost,1.0,1.0,1.0,1.0,1.0,0.0,0.54
Adriana Watson-Hankins,5.0,5.0,0.0,5.0,5.0,0.0,0.54
Richard Finke,5.0,5.0,0.0,5.0,5.0,0.0,0.54
Tammy Smith,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Blakeley Mann,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Amelia Briggs,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Lizzie Hudson,3.0,3.0,0.0,3.0,3.0,0.0,0.54
Brandy Hopkins,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Livia Cornella,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Nicole Castello,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Jenna Bowen,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Lisa Ann Wooten,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Nicole Clements,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Kelli Perrelli,5.0,5.0,0.0,5.0,5.0,0.0,0.54
A W,5.0,5.0,0.0,5.0,5.0,0.0,0.54
Carmen Woods,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Braden Guy,5.0,5.0,0.0,5.0,5.0,0.0,0.54
Kate Sligh,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Lauren Cranford,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Sharon Keane,5.0,5.0,0.0,5.0,5.0,0.0,0.54
Karen E,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Amy Floyd,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Tiah Skrzycki,5.0,5.0,0.0,5.0,5.0,0.0,0.54
MindDrift Reviews,5.0,5.0,0.0,5.0,5.0,0.0,0.54
D S,5.0,5.0,0.0,5.0,5.0,0.0,0.54
Urielle Fortunes,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Faith Hill,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Ken Lowery,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Diane Natale,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Hadija O.,5.0,5.0,0.0,5.0,5.0,0.0,0.54
C Nation,1.0,1.0,0.0,1.0,1.0,0.0,0.54
"Heather ""Boo"" Keeling",5.0,5.0,0.0,5.0,5.0,0.0,0.54
Misty Haynes,5.0,5.0,0.0,5.0,5.0,0.0,0.54
Sam Curtis,5.0,5.0,0.0,5.0,5.0,0.0,0.54
Arlicia Sims,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Joey Jones,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Jacob Silberman,5.0,5.0,0.0,5.0,5.0,0.0,0.54
Blake Habshey,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Peyton H.,1.0,1.0,0.0,1.0,1.0,0.0,0.54
Veronica Dixon,5.0,5.0,0.0,5.0,5.0,0.0,0.54
James Lovell,5.0,5.0,0.0,5.0,5.0,0.0,0.54
Evan Maltass,5.0,5.0,0.0,5.0,5.0,0.0,0.54
Mary Brown,1.0,1.0,0.0,1.0,1.0,0.0,0.54
John Hay,2.0,2.0,0.0,2.0,2.0,0.0,0.54
