Name,Ranking,Friendliness,General Rating,Flexibility,Ease,Affordability,Response Time
Siame7474,1.0,1.0,0.0,1.0,1.0,1.0,0.44
mike ensley,5.0,5.0,5.0,5.0,5.0,5.0,0.44
Carla Clayton,2.0,1.0,0.0,1.0,1.0,1.0,0.44
Jerrilyn Conlon,1.0,1.0,0.0,1.0,1.0,1.0,0.44
Cassandra Moore,5.0,5.0,5.0,5.0,5.0,5.0,0.44
Mikey Childers (Mikey),1.0,1.0,0.0,1.0,1.0,1.0,0.44
Football is King,1.0,1.0,0.0,1.0,1.0,1.0,0.44
Love kordei,4.0,5.0,0.0,5.0,5.0,5.0,0.44
Shaquita tables,4.0,5.0,0.0,5.0,5.0,5.0,0.44
Ashley Adams,5.0,5.0,5.0,5.0,5.0,5.0,0.44
Dustin F,1.0,0.0,0.0,0.0,0.0,0.0,0.53
Miguel Gabriel,5.0,0.0,5.0,0.0,0.0,0.0,0.53
Average,2.92,2.5,1.67,2.5,2.5,2.5,0.46
