Name,Ranking,Friendliness,General Rating,Flexibility,Ease,Affordability,Response Time
Siame7474,1.0,0.0,0.0,0.0,0.0,0.0,0.47
mike ensley,5.0,0.0,5.0,0.0,0.0,0.0,0.47
Carla Clayton,2.0,0.0,0.0,0.0,0.0,0.0,0.47
Jerrilyn Conlon,1.0,0.0,0.0,0.0,0.0,0.0,0.47
Cassandra Moore,5.0,0.0,5.0,0.0,0.0,0.0,0.47
Mikey Childers (Mikey),1.0,0.0,0.0,0.0,0.0,0.0,0.47
Football is King,1.0,0.0,0.0,0.0,0.0,0.0,0.47
Love kordei,4.0,0.0,0.0,0.0,0.0,0.0,0.47
Shaquita tables,4.0,0.0,0.0,0.0,0.0,0.0,0.47
Ashley Adams,5.0,0.0,5.0,0.0,0.0,0.0,0.47
Dustin F,1.0,0.0,0.0,0.0,0.0,0.0,0.47
Miguel Gabriel,5.0,0.0,5.0,0.0,0.0,0.0,0.47
