Name,Ranking,Friendliness,General Rating,Flexibility,Ease,Affordability,Response Time
Siame7474,1.0,1.0,0.0,1.0,1.0,1.0,0.53
mike ensley,5.0,5.0,5.0,5.0,5.0,5.0,0.53
Carla Clayton,2.0,2.0,0.0,1.0,1.0,1.0,0.53
Jerrilyn Conlon,1.0,1.0,0.0,1.0,1.0,1.0,0.53
Cassandra Moore,5.0,5.0,5.0,5.0,5.0,5.0,0.53
Mikey Childers (Mikey),1.0,1.0,0.0,1.0,1.0,1.0,0.53
Football is King,1.0,1.0,0.0,1.0,1.0,1.0,0.53
Love kordei,4.0,4.0,0.0,4.0,4.0,4.0,0.53
Shaquita tables,4.0,4.0,0.0,4.0,4.0,4.0,0.53
Ashley Adams,5.0,5.0,5.0,5.0,5.0,5.0,0.53
Dustin F,1.0,1.0,0.0,1.0,1.0,1.0,0.53
Miguel Gabriel,5.0,5.0,5.0,5.0,5.0,5.0,0.53
Average,2.92,2.92,1.67,2.83,2.83,2.83,0.53
