Name,Ranking,Friendliness,General Rating,Flexibility,Ease,Affordability,Response Time
Siame7474,1.0,1.0,1.0,1.0,1.0,1.0,0.6
mike ensley,5.0,5.0,5.0,5.0,5.0,0.0,0.6
Carla Clayton,2.0,2.0,0.0,1.0,1.0,0.0,0.6
Jerrilyn Conlon,1.0,1.0,0.0,0.0,0.0,0.0,0.6
Cassandra Moore,5.0,5.0,5.0,5.0,5.0,0.0,0.6
Mikey Childers (Mikey),1.0,1.0,0.0,0.0,0.0,0.0,0.6
Football is King,1.0,1.0,0.0,0.0,0.0,0.0,0.6
Love kordei,4.0,4.0,0.0,0.0,0.0,0.0,0.6
Shaquita tables,4.0,4.0,0.0,0.0,0.0,0.0,0.6
Ashley Adams,5.0,5.0,5.0,0.0,0.0,0.0,0.6
Dustin F,1.0,1.0,0.0,0.0,0.0,0.0,0.6
Miguel Gabriel,5.0,5.0,5.0,0.0,0.0,0.0,0.6
Average,2.92,2.92,1.75,1.0,1.0,0.08,0.6
