Name,Ranking,Friendliness,General Rating,Flexibility,Ease,Affordability,Response Time
Siame7474,3.0,2.0,3.0,2.0,2.0,2.0,0.5
mike ensley,5.0,5.0,4.0,0.0,0.0,5.0,0.48
Carla Clayton,2.0,0.0,2.0,1.0,1.0,2.0,0.41
Jerrilyn Conlon,1.0,1.0,1.0,0.0,0.0,0.0,0.59
Cassandra Moore,5.0,0.0,5.0,0.0,0.0,0.0,0.43
Mikey Childers (Mikey),1.0,0.0,1.0,0.0,0.0,0.0,0.47
Football is King,1.0,0.0,0.0,0.0,0.0,0.0,0.58
Love kordei,5.0,4.0,0.0,0.0,0.0,0.0,0.68
Shaquita tables,4.0,0.0,4.0,0.0,0.0,0.0,0.42
Ashley Adams,5.0,0.0,0.0,0.0,0.0,0.0,0.4
Dustin F,1.0,0.0,1.0,0.0,0.0,0.0,0.57
Miguel Gabriel,5.0,0.0,5.0,0.0,0.0,0.0,0.42
